# NPT_VS_PR TimeStep=2.067055e+01 MassBarostat=1.000000e+00
#  1:iter 2:L  3:Temp    4:Stress   5:Utot   6:Ukc    7:Ubaro  8:Wbaro    9:Hamilton
  58 11.241581 2890.260673 +0.000271 -32.155881 0.109834 0.090620 0.146623 -31.808804
  59 11.132519 2933.751790 +0.000319 -32.139106 0.111487 0.076120 0.142063 -31.809437
  60 11.033246 2988.584533 +0.000321 -32.122357 0.113570 0.063067 0.137969 -31.807751
  61 10.939518 3049.091536 +0.000230 -32.111689 0.115870 0.056220 0.134310 -31.805289
  62 10.849359 3116.037637 +0.000181 -32.107381 0.118414 0.052019 0.130917 -31.806032
  63 10.763677 3194.969724 +0.000206 -32.102882 0.121413 0.046982 0.127706 -31.806781
  64 10.683843 3287.634508 +0.000246 -32.097777 0.124935 0.040787 0.124704 -31.807351
  65 10.611339 3394.984575 +0.000291 -32.092280 0.129014 0.033641 0.121950 -31.807675
  66 10.547602 3518.080797 +0.000335 -32.086845 0.133692 0.025998 0.119484 -31.807671
  67 10.493964 3657.309345 +0.000375 -32.082096 0.138983 0.018412 0.117344 -31.807357
  68 10.451640 3812.175672 +0.000412 -32.078532 0.144868 0.011463 0.115563 -31.806638
  69 10.421589 3981.291663 +0.000440 -32.076861 0.151295 0.005779 0.114170 -31.805617
  70 10.404139 4162.496009 +0.000459 -32.077592 0.158181 0.001949 0.113188 -31.804274
  71 10.399648 3757.778186 +0.000467 -32.080562 0.142801 0.000129 0.112621 -31.825012
  72 10.408160 3941.676732 +0.000463 -32.086365 0.149789 0.000464 0.112475 -31.823637
  73 10.429409 4129.428475 +0.000448 -32.094913 0.156924 0.002889 0.112751 -31.822348
  74 10.462822 4317.360499 +0.000422 -32.105907 0.164066 0.007145 0.113443 -31.821253
  75 10.507562 4501.908012 +0.000386 -32.118853 0.171079 0.012809 0.114537 -31.820428
  76 10.562579 4679.920027 +0.000343 -32.133132 0.177843 0.019371 0.116013 -31.819905
  77 10.626721 4849.004628 +0.000300 -32.148115 0.184269 0.026328 0.117845 -31.819673
  78 10.698759 5007.410420 +0.000257 -32.163216 0.190289 0.033210 0.120005 -31.819713
  79 10.777475 5154.484721 +0.000216 -32.177922 0.195878 0.039653 0.122462 -31.819930
  80 10.861107 5289.948877 +0.000176 -32.191914 0.201025 0.044760 0.125185 -31.820945
  81 10.948725 4264.873597 +0.000145 -32.204102 0.162071 0.049130 0.128122 -31.864779
  82 11.039649 4377.047040 +0.000123 -32.215527 0.166334 0.052905 0.131247 -31.865041
  83 11.133473 4480.634686 +0.000112 -32.226302 0.170270 0.056335 0.134544 -31.865152
  84 11.230044 4573.675483 +0.000108 -32.236600 0.173806 0.059682 0.138004 -31.865107
  85 11.329209 4653.391156 +0.000102 -32.246594 0.176835 0.062930 0.141626 -31.865202
  86 11.430615 4718.272401 +0.000089 -32.256095 0.179301 0.065807 0.145411 -31.865575
  87 11.533677 4767.995850 +0.000071 -32.264751 0.181190 0.067975 0.149351 -31.866234
